what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1560982301405
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1560982301405
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1560982301405
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1560982301405
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1560982301405
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1560982301405
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1560982301405
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1560982301405
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1560982301405
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1560982301405
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1560982301405
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1560982301405
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1560982301405
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1560982301405
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1560982301405
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1560982301405
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1560982301405
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1560982301405
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1560982301405
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1560982301405
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1560982301405
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1560982301405
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1560982301405
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1560982301405
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1560982301405
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1560982301405
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1560982301405
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1560982301405
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1560982301405
os,sysinfo,,,"win32",1560982301405
arch,sysinfo,,,"x86",1560982301405
ws,sysinfo,,,"win32",1560982301405
locale,sysinfo,,,"en_US",1560982301405
processors,sysinfo,,,"8",1560982301405
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1560982301405
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1560982301405
java.specification.name,sysinfo,,,"Java Platform API Specification",1560982301405
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1560982301405
java.specification.version,sysinfo,,,"1.6",1560982301405
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1560982301405
java.version,sysinfo,,,"1.6.0_23",1560982301405
java.vm.info,sysinfo,,,"mixed mode",1560982301405
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1560982301405
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1560982301405
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1560982301405
java.vm.specification.version,sysinfo,,,"1.0",1560982301405
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1560982301405
java.vm.version,sysinfo,,,"19.0-b09",1560982301405
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1560982301733
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1560982301843
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1560982301843
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1560982302311
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1560982302718
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1560982304077
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1560982310748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1560982316982
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560982319404
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1560982319826
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1560982324466
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1560982324825
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1560982324872
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1560982328497
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560982337653
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1560982343637
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1560982343637
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1560982343637
error,log,,,"Error executing 'nios2-bsp-generate-files --bsp-dir . --settings settings.bsp', unexpected return code 1.\n\nError message:\n\nSEVERE: File not found: C:\\Users\\DAELN\\Downloads\\laboratorios-logica-reconfiguravel\\nios_userhw\\jtag_uart_sys.sopcinfo\r\nSEVERE: File not found: C:\\Users\\DAELN\\Downloads\\laboratorios-logica-reconfiguravel\\nios_userhw\\jtag_uart_sys.sopcinfo\r\nSEVERE: nios2-bsp-generate-files failed.\r\n",1560982352855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982352886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982363026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982366401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982378200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982380496
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1560982392230
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1560982392542
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1560982393823
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1560982393823
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1560982398573
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1560982398589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982404510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1560982404541
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1560982409197
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1560982409275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1560982427102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1560982427274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1560982429133
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560982430758
error,log,,,"Error executing 'nios2-bsp-generate-files --bsp-dir . --settings settings.bsp', unexpected return code 1.\n\nError message:\n\nSEVERE: File not found: C:\\Users\\DAELN\\Downloads\\laboratorios-logica-reconfiguravel\\nios_userhw\\jtag_uart_sys.sopcinfo\r\nSEVERE: File not found: C:\\Users\\DAELN\\Downloads\\laboratorios-logica-reconfiguravel\\nios_userhw\\jtag_uart_sys.sopcinfo\r\nSEVERE: nios2-bsp-generate-files failed.\r\n",1560982436945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982436961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982444507
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1560982445273
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560982455803
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1560982456100
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1560982456194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1560982475692
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1560982508456
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1560982512080
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560982521861
error,log,,,"Error executing 'nios2-bsp-generate-files --bsp-dir . --settings settings.bsp', unexpected return code 1.\n\nError message:\n\nSEVERE: File not found: C:\\Users\\DAELN\\Downloads\\laboratorios-logica-reconfiguravel\\nios_userhw\\jtag_uart_sys.sopcinfo\r\nSEVERE: File not found: C:\\Users\\DAELN\\Downloads\\laboratorios-logica-reconfiguravel\\nios_userhw\\jtag_uart_sys.sopcinfo\r\nSEVERE: nios2-bsp-generate-files failed.\r\n",1560982525876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982525892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982528564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1560982535876
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1560982541703
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1560982541797
closed,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1560982541797
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1560982544045
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1560982544045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982547156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982635603
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560982636790
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1560982637025
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1560982637087
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560982639212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982645961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982647508
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1560982647524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1560982647524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982649555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982650524
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1560982650524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1560982650524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982655273
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1560982657570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560982744486
