what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1560344891052
java.version,sysinfo,,,"1.6.0_23",1560344891052
java.vm.info,sysinfo,,,"mixed mode",1560344891052
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1560344891052
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1560344891052
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1560344891052
java.vm.specification.version,sysinfo,,,"1.0",1560344891052
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1560344891052
java.vm.version,sysinfo,,,"19.0-b09",1560344891052
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1560344891398
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560344892086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560344893704
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1560344894651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560344894671
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1560344894674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1560344894674
started,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1560344897868
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1560344897951
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1560344897955
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1560344897956
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1560344897956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560344898167
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1560344913203
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1560344913233
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1560344914170
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1560344914584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560344918794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560344921077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560344921524
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1560344921526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1560344921526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560344923883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560344964790
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1560344966853
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1560344966882
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1560344967342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1560344973418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1560344974433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1560344978716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1560344979370
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1560344982744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560344983013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560344996969
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560344998123
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1560344998745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560344999974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560345001927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560345003840
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1560345023630
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1560345023673
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1560345025360
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1560345025363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560345029493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1560345029500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560345029950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560345034222
executed,command,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project.commands.bspEditor",1560345036433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560345036691
