what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1560341920407
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1560341920408
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1560341920408
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1560341920408
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1560341920409
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1560341920409
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1560341920409
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1560341920410
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1560341920410
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1560341920410
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1560341920411
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1560341920411
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1560341920411
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1560341920412
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1560341920412
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1560341920412
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1560341920412
os,sysinfo,,,"win32",1560341920414
arch,sysinfo,,,"x86",1560341920414
ws,sysinfo,,,"win32",1560341920414
locale,sysinfo,,,"pt_BR",1560341920414
processors,sysinfo,,,"8",1560341920414
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1560341920414
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1560341920414
java.specification.name,sysinfo,,,"Java Platform API Specification",1560341920414
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1560341920414
java.specification.version,sysinfo,,,"1.6",1560341920414
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1560341920414
java.version,sysinfo,,,"1.6.0_23",1560341920414
java.vm.info,sysinfo,,,"mixed mode",1560341920414
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1560341920414
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1560341920414
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1560341920414
java.vm.specification.version,sysinfo,,,"1.0",1560341920414
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1560341920414
java.vm.version,sysinfo,,,"19.0-b09",1560341920414
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1560341920470
started,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1560341923745
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1560341923752
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1560341923805
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1560341923825
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1560341923826
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1560341923827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560341924045
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1560341982056
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1560341982152
